"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPGDFD","Consumer prices - food","BEL","Belgium","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,2.720884,,
"CPGDFD","Consumer prices - food","BEL","Belgium","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,3.100204,,
"CPGDFD","Consumer prices - food","BEL","Belgium","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,3.421529,,
"CPGDFD","Consumer prices - food","BEL","Belgium","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,-0.3758333,,
"CPGDFD","Consumer prices - food","BEL","Belgium","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.202018,,
"CPGDFD","Consumer prices - food","CZE","Czech Republic","GY","Percentage change on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,0.9709587,,
"CPGDFD","Consumer prices - food","CZE","Czech Republic","GY","Percentage change on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,5.085333,,
"CPGDFD","Consumer prices - food","CZE","Czech Republic","GY","Percentage change on the same period of the previous year","A","Annual","2002","2002","PC","Percentage","0","Units",,,-1.945589,,
"CPGDFD","Consumer prices - food","CZE","Czech Republic","GY","Percentage change on the same period of the previous year","A","Annual","2003","2003","PC","Percentage","0","Units",,,-2.160753,,
"CPGDFD","Consumer prices - food","CZE","Czech Republic","GY","Percentage change on the same period of the previous year","A","Annual","2004","2004","PC","Percentage","0","Units",,,3.394346,,
"CPGDFD","Consumer prices - food","CZE","Czech Republic","GY","Percentage change on the same period of the previous year","A","Annual","2005","2005","PC","Percentage","0","Units",,,-0.2659574,,
"CPGDFD","Consumer prices - food","CZE","Czech Republic","GY","Percentage change on the same period of the previous year","A","Annual","2006","2006","PC","Percentage","0","Units",,,0.8666667,,
"CPGDFD","Consumer prices - food","CZE","Czech Republic","GY","Percentage change on the same period of the previous year","A","Annual","2007","2007","PC","Percentage","0","Units",,,4.72571,,
"CPGDFD","Consumer prices - food","CZE","Czech Republic","GY","Percentage change on the same period of the previous year","A","Annual","2008","2008","PC","Percentage","0","Units",,,8.117702,,
"CPGDFD","Consumer prices - food","CZE","Czech Republic","GY","Percentage change on the same period of the previous year","A","Annual","2009","2009","PC","Percentage","0","Units",,,-3.954761,,
"CPGDFD","Consumer prices - food","CZE","Czech Republic","GY","Percentage change on the same period of the previous year","A","Annual","2010","2010","PC","Percentage","0","Units",,,1.466231,,
"CPGDFD","Consumer prices - food","CZE","Czech Republic","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,4.619647,,
"CPGDFD","Consumer prices - food","CZE","Czech Republic","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,6.89902,,
"CPGDFD","Consumer prices - food","CZE","Czech Republic","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,4.934056,,
"CPGDFD","Consumer prices - food","CZE","Czech Republic","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.009698,,
"CPGDFD","Consumer prices - food","CZE","Czech Republic","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,-1.081994,,
"CPGDFD","Consumer prices - food","DNK","Denmark","GY","Percentage change on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,2.540664,,
"CPGDFD","Consumer prices - food","DNK","Denmark","GY","Percentage change on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,3.855773,,
"CPGDFD","Consumer prices - food","DNK","Denmark","GY","Percentage change on the same period of the previous year","A","Annual","2002","2002","PC","Percentage","0","Units",,,2.183121,,
"CPGDFD","Consumer prices - food","DNK","Denmark","GY","Percentage change on the same period of the previous year","A","Annual","2003","2003","PC","Percentage","0","Units",,,1.42432,,
"CPGDFD","Consumer prices - food","DNK","Denmark","GY","Percentage change on the same period of the previous year","A","Annual","2004","2004","PC","Percentage","0","Units",,,-1.016558,,
"CPGDFD","Consumer prices - food","DNK","Denmark","GY","Percentage change on the same period of the previous year","A","Annual","2005","2005","PC","Percentage","0","Units",,,0.6458443,,
"CPGDFD","Consumer prices - food","DNK","Denmark","GY","Percentage change on the same period of the previous year","A","Annual","2006","2006","PC","Percentage","0","Units",,,2.724595,,
"CPGDFD","Consumer prices - food","DNK","Denmark","GY","Percentage change on the same period of the previous year","A","Annual","2007","2007","PC","Percentage","0","Units",,,4.464926,,
"CPGDFD","Consumer prices - food","DNK","Denmark","GY","Percentage change on the same period of the previous year","A","Annual","2008","2008","PC","Percentage","0","Units",,,7.567885,,
"CPGDFD","Consumer prices - food","DNK","Denmark","GY","Percentage change on the same period of the previous year","A","Annual","2009","2009","PC","Percentage","0","Units",,,-0.09113278,,
"CPGDFD","Consumer prices - food","DNK","Denmark","GY","Percentage change on the same period of the previous year","A","Annual","2010","2010","PC","Percentage","0","Units",,,0.3739852,,
"CPGDFD","Consumer prices - food","DNK","Denmark","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,3.962196,,
"CPGDFD","Consumer prices - food","DNK","Denmark","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,4.291958,,
"CPGDFD","Consumer prices - food","DNK","Denmark","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.4274579,,
"CPGDFD","Consumer prices - food","DNK","Denmark","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,-0.8679686,,
"CPGDFD","Consumer prices - food","DNK","Denmark","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.035528,,
"CPGDFD","Consumer prices - food","FIN","Finland","GY","Percentage change on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,1.066889,,
"CPGDFD","Consumer prices - food","FIN","Finland","GY","Percentage change on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,4.429388,,
"CPGDFD","Consumer prices - food","FIN","Finland","GY","Percentage change on the same period of the previous year","A","Annual","2002","2002","PC","Percentage","0","Units",,,2.879282,,
"CPGDFD","Consumer prices - food","FIN","Finland","GY","Percentage change on the same period of the previous year","A","Annual","2003","2003","PC","Percentage","0","Units",,,0.5996106,,
"CPGDFD","Consumer prices - food","FIN","Finland","GY","Percentage change on the same period of the previous year","A","Annual","2004","2004","PC","Percentage","0","Units",,,0.776467,,
"CPGDFD","Consumer prices - food","FIN","Finland","GY","Percentage change on the same period of the previous year","A","Annual","2005","2005","PC","Percentage","0","Units",,,0.5655746,,
"CPGDFD","Consumer prices - food","FIN","Finland","GY","Percentage change on the same period of the previous year","A","Annual","2006","2006","PC","Percentage","0","Units",,,1.36839,,
"CPGDFD","Consumer prices - food","FIN","Finland","GY","Percentage change on the same period of the previous year","A","Annual","2007","2007","PC","Percentage","0","Units",,,2.070094,,
"CPGDFD","Consumer prices - food","FIN","Finland","GY","Percentage change on the same period of the previous year","A","Annual","2008","2008","PC","Percentage","0","Units",,,8.597318,,
"CPGDFD","Consumer prices - food","FIN","Finland","GY","Percentage change on the same period of the previous year","A","Annual","2009","2009","PC","Percentage","0","Units",,,2.020337,,
"CPGDFD","Consumer prices - food","FIN","Finland","GY","Percentage change on the same period of the previous year","A","Annual","2010","2010","PC","Percentage","0","Units",,,-3.418234,,
"CPGDFD","Consumer prices - food","FIN","Finland","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,6.282866,,
"CPGDFD","Consumer prices - food","FIN","Finland","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,5.159489,,
"CPGDFD","Consumer prices - food","FIN","Finland","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,5.33733,,
"CPGDFD","Consumer prices - food","FIN","Finland","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.1507751,,
"CPGDFD","Consumer prices - food","FIN","Finland","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,-1.869436,,
"CPGDFD","Consumer prices - food","FRA","France","GY","Percentage change on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,2.200902,,
"CPGDFD","Consumer prices - food","FRA","France","GY","Percentage change on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,5.516412,,
"CPGDFD","Consumer prices - food","FRA","France","GY","Percentage change on the same period of the previous year","A","Annual","2002","2002","PC","Percentage","0","Units",,,2.729031,,
"CPGDFD","Consumer prices - food","FRA","France","GY","Percentage change on the same period of the previous year","A","Annual","2003","2003","PC","Percentage","0","Units",,,2.27901,,
"CPGDFD","Consumer prices - food","FRA","France","GY","Percentage change on the same period of the previous year","A","Annual","2004","2004","PC","Percentage","0","Units",,,0.4863352,,
"CPGDFD","Consumer prices - food","FRA","France","GY","Percentage change on the same period of the previous year","A","Annual","2005","2005","PC","Percentage","0","Units",,,0.1571493,,
"CPGDFD","Consumer prices - food","FRA","France","GY","Percentage change on the same period of the previous year","A","Annual","2006","2006","PC","Percentage","0","Units",,,1.67395,,
"CPGDFD","Consumer prices - food","FRA","France","GY","Percentage change on the same period of the previous year","A","Annual","2007","2007","PC","Percentage","0","Units",,,1.451361,,
"CPGDFD","Consumer prices - food","FRA","France","GY","Percentage change on the same period of the previous year","A","Annual","2008","2008","PC","Percentage","0","Units",,,5.064484,,
"CPGDFD","Consumer prices - food","FRA","France","GY","Percentage change on the same period of the previous year","A","Annual","2009","2009","PC","Percentage","0","Units",,,0.07816317,,
"CPGDFD","Consumer prices - food","FRA","France","GY","Percentage change on the same period of the previous year","A","Annual","2010","2010","PC","Percentage","0","Units",,,0.7845713,,
"CPGDFD","Consumer prices - food","FRA","France","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.986668,,
"CPGDFD","Consumer prices - food","FRA","France","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,2.88914,,
"CPGDFD","Consumer prices - food","FRA","France","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.149724,,
"CPGDFD","Consumer prices - food","FRA","France","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,-0.8388023,,
"CPGDFD","Consumer prices - food","FRA","France","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.4032865,,
"CPGDFD","Consumer prices - food","DEU","Germany","GY","Percentage change on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,-0.6917381,,
"CPGDFD","Consumer prices - food","DEU","Germany","GY","Percentage change on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,4.454037,,
"CPGDFD","Consumer prices - food","DEU","Germany","GY","Percentage change on the same period of the previous year","A","Annual","2002","2002","PC","Percentage","0","Units",,,0.8453085,,
"CPGDFD","Consumer prices - food","DEU","Germany","GY","Percentage change on the same period of the previous year","A","Annual","2003","2003","PC","Percentage","0","Units",,,-0.1490174,,
"CPGDFD","Consumer prices - food","DEU","Germany","GY","Percentage change on the same period of the previous year","A","Annual","2004","2004","PC","Percentage","0","Units",,,-0.3357896,,
"CPGDFD","Consumer prices - food","DEU","Germany","GY","Percentage change on the same period of the previous year","A","Annual","2005","2005","PC","Percentage","0","Units",,,0.05615349,,
"CPGDFD","Consumer prices - food","DEU","Germany","GY","Percentage change on the same period of the previous year","A","Annual","2006","2006","PC","Percentage","0","Units",,,2.029745,,
"CPGDFD","Consumer prices - food","DEU","Germany","GY","Percentage change on the same period of the previous year","A","Annual","2007","2007","PC","Percentage","0","Units",,,3.79538,,
"CPGDFD","Consumer prices - food","DEU","Germany","GY","Percentage change on the same period of the previous year","A","Annual","2008","2008","PC","Percentage","0","Units",,,6.076665,,
"CPGDFD","Consumer prices - food","DEU","Germany","GY","Percentage change on the same period of the previous year","A","Annual","2009","2009","PC","Percentage","0","Units",,,-1.307244,,
"CPGDFD","Consumer prices - food","DEU","Germany","GY","Percentage change on the same period of the previous year","A","Annual","2010","2010","PC","Percentage","0","Units",,,1.248629,,
"CPGDFD","Consumer prices - food","DEU","Germany","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,2.758104,,
"CPGDFD","Consumer prices - food","DEU","Germany","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,3.405774,,
"CPGDFD","Consumer prices - food","DEU","Germany","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,3.858218,,
"CPGDFD","Consumer prices - food","DEU","Germany","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.034431,,
"CPGDFD","Consumer prices - food","DEU","Germany","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.739855,,
"CPGDFD","Consumer prices - food","GRC","Greece","GY","Percentage change on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,1.889842,,
"CPGDFD","Consumer prices - food","GRC","Greece","GY","Percentage change on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,5.126946,,
"CPGDFD","Consumer prices - food","GRC","Greece","GY","Percentage change on the same period of the previous year","A","Annual","2002","2002","PC","Percentage","0","Units",,,5.326265,,
"CPGDFD","Consumer prices - food","GRC","Greece","GY","Percentage change on the same period of the previous year","A","Annual","2003","2003","PC","Percentage","0","Units",,,4.975938,,
"CPGDFD","Consumer prices - food","GRC","Greece","GY","Percentage change on the same period of the previous year","A","Annual","2004","2004","PC","Percentage","0","Units",,,0.5146211,,
"CPGDFD","Consumer prices - food","GRC","Greece","GY","Percentage change on the same period of the previous year","A","Annual","2005","2005","PC","Percentage","0","Units",,,0.6149968,,
"CPGDFD","Consumer prices - food","GRC","Greece","GY","Percentage change on the same period of the previous year","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.741987,,
"CPGDFD","Consumer prices - food","GRC","Greece","GY","Percentage change on the same period of the previous year","A","Annual","2007","2007","PC","Percentage","0","Units",,,3.240945,,
"CPGDFD","Consumer prices - food","GRC","Greece","GY","Percentage change on the same period of the previous year","A","Annual","2008","2008","PC","Percentage","0","Units",,,5.364443,,
"CPGDFD","Consumer prices - food","GRC","Greece","GY","Percentage change on the same period of the previous year","A","Annual","2009","2009","PC","Percentage","0","Units",,,1.906247,,
"CPGDFD","Consumer prices - food","GRC","Greece","GY","Percentage change on the same period of the previous year","A","Annual","2010","2010","PC","Percentage","0","Units",,,0.0622359,,
"CPGDFD","Consumer prices - food","GRC","Greece","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,3.114145,,
"CPGDFD","Consumer prices - food","GRC","Greece","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,1.50546,,
"CPGDFD","Consumer prices - food","GRC","Greece","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.003220493,,
"CPGDFD","Consumer prices - food","GRC","Greece","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,-1.681281,,
"CPGDFD","Consumer prices - food","GRC","Greece","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.80199,,
"CPGDFD","Consumer prices - food","HUN","Hungary","GY","Percentage change on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,9.186046,,
"CPGDFD","Consumer prices - food","HUN","Hungary","GY","Percentage change on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,13.63971,,
"CPGDFD","Consumer prices - food","HUN","Hungary","GY","Percentage change on the same period of the previous year","A","Annual","2002","2002","PC","Percentage","0","Units",,,4.324383,,
"CPGDFD","Consumer prices - food","HUN","Hungary","GY","Percentage change on the same period of the previous year","A","Annual","2003","2003","PC","Percentage","0","Units",,,1.447178,,
"CPGDFD","Consumer prices - food","HUN","Hungary","GY","Percentage change on the same period of the previous year","A","Annual","2004","2004","PC","Percentage","0","Units",,,5.706134,,
"CPGDFD","Consumer prices - food","HUN","Hungary","GY","Percentage change on the same period of the previous year","A","Annual","2005","2005","PC","Percentage","0","Units",,,1.657991,,
"CPGDFD","Consumer prices - food","HUN","Hungary","GY","Percentage change on the same period of the previous year","A","Annual","2006","2006","PC","Percentage","0","Units",,,8.173716,,
"CPGDFD","Consumer prices - food","HUN","Hungary","GY","Percentage change on the same period of the previous year","A","Annual","2007","2007","PC","Percentage","0","Units",,,11.93899,,
"CPGDFD","Consumer prices - food","HUN","Hungary","GY","Percentage change on the same period of the previous year","A","Annual","2008","2008","PC","Percentage","0","Units",,,10.39154,,
"CPGDFD","Consumer prices - food","HUN","Hungary","GY","Percentage change on the same period of the previous year","A","Annual","2009","2009","PC","Percentage","0","Units",,,3.887352,,
"CPGDFD","Consumer prices - food","HUN","Hungary","GY","Percentage change on the same period of the previous year","A","Annual","2010","2010","PC","Percentage","0","Units",,,2.779105,,
"CPGDFD","Consumer prices - food","HUN","Hungary","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,7.234919,,
"CPGDFD","Consumer prices - food","HUN","Hungary","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,5.972369,,
"CPGDFD","Consumer prices - food","HUN","Hungary","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.636656,,
"CPGDFD","Consumer prices - food","HUN","Hungary","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,-0.7974482,,
"CPGDFD","Consumer prices - food","HUN","Hungary","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.5512173,,
"CPGDFD","Consumer prices - food","ISL","Iceland","GY","Percentage change on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,4.123317,,
"CPGDFD","Consumer prices - food","ISL","Iceland","GY","Percentage change on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,6.899285,,
"CPGDFD","Consumer prices - food","ISL","Iceland","GY","Percentage change on the same period of the previous year","A","Annual","2002","2002","PC","Percentage","0","Units",,,4.217909,,
"CPGDFD","Consumer prices - food","ISL","Iceland","GY","Percentage change on the same period of the previous year","A","Annual","2003","2003","PC","Percentage","0","Units",,,-2.635092,,
"CPGDFD","Consumer prices - food","ISL","Iceland","GY","Percentage change on the same period of the previous year","A","Annual","2004","2004","PC","Percentage","0","Units",,,1.062091,,
"CPGDFD","Consumer prices - food","ISL","Iceland","GY","Percentage change on the same period of the previous year","A","Annual","2005","2005","PC","Percentage","0","Units",,,-2.586958,,
"CPGDFD","Consumer prices - food","ISL","Iceland","GY","Percentage change on the same period of the previous year","A","Annual","2006","2006","PC","Percentage","0","Units",,,7.981514,,
"CPGDFD","Consumer prices - food","ISL","Iceland","GY","Percentage change on the same period of the previous year","A","Annual","2007","2007","PC","Percentage","0","Units",,,-1.08386,,
"CPGDFD","Consumer prices - food","ISL","Iceland","GY","Percentage change on the same period of the previous year","A","Annual","2008","2008","PC","Percentage","0","Units",,,15.99356,,
"CPGDFD","Consumer prices - food","ISL","Iceland","GY","Percentage change on the same period of the previous year","A","Annual","2009","2009","PC","Percentage","0","Units",,,17.52667,,
"CPGDFD","Consumer prices - food","ISL","Iceland","GY","Percentage change on the same period of the previous year","A","Annual","2010","2010","PC","Percentage","0","Units",,,4.235108,,
"CPGDFD","Consumer prices - food","ISL","Iceland","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,3.833441,,
"CPGDFD","Consumer prices - food","ISL","Iceland","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,6.089588,,
"CPGDFD","Consumer prices - food","ISL","Iceland","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,5.093911,,
"CPGDFD","Consumer prices - food","ISL","Iceland","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.4973772,,
"CPGDFD","Consumer prices - food","ISL","Iceland","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,2.845931,,
"CPGDFD","Consumer prices - food","IRL","Ireland","GY","Percentage change on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,3.112515,,
"CPGDFD","Consumer prices - food","IRL","Ireland","GY","Percentage change on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,6.532709,,
"CPGDFD","Consumer prices - food","IRL","Ireland","GY","Percentage change on the same period of the previous year","A","Annual","2002","2002","PC","Percentage","0","Units",,,3.450901,,
"CPGDFD","Consumer prices - food","IRL","Ireland","GY","Percentage change on the same period of the previous year","A","Annual","2003","2003","PC","Percentage","0","Units",,,1.430791,,
"CPGDFD","Consumer prices - food","IRL","Ireland","GY","Percentage change on the same period of the previous year","A","Annual","2004","2004","PC","Percentage","0","Units",,,-0.2660003,,
"CPGDFD","Consumer prices - food","IRL","Ireland","GY","Percentage change on the same period of the previous year","A","Annual","2005","2005","PC","Percentage","0","Units",,,-0.6950618,,
"CPGDFD","Consumer prices - food","IRL","Ireland","GY","Percentage change on the same period of the previous year","A","Annual","2006","2006","PC","Percentage","0","Units",,,1.391715,,
"CPGDFD","Consumer prices - food","IRL","Ireland","GY","Percentage change on the same period of the previous year","A","Annual","2007","2007","PC","Percentage","0","Units",,,2.801413,,
"CPGDFD","Consumer prices - food","IRL","Ireland","GY","Percentage change on the same period of the previous year","A","Annual","2008","2008","PC","Percentage","0","Units",,,6.535489,,
"CPGDFD","Consumer prices - food","IRL","Ireland","GY","Percentage change on the same period of the previous year","A","Annual","2009","2009","PC","Percentage","0","Units",,,-3.466725,,
"CPGDFD","Consumer prices - food","IRL","Ireland","GY","Percentage change on the same period of the previous year","A","Annual","2010","2010","PC","Percentage","0","Units",,,-4.555463,,
"CPGDFD","Consumer prices - food","IRL","Ireland","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.153448,,
"CPGDFD","Consumer prices - food","IRL","Ireland","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,0.5662158,,
"CPGDFD","Consumer prices - food","IRL","Ireland","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.055677,,
"CPGDFD","Consumer prices - food","IRL","Ireland","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,-2.244061,,
"CPGDFD","Consumer prices - food","IRL","Ireland","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,-2.137259,,
"CPGDFD","Consumer prices - food","ITA","Italy","GY","Percentage change on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,1.559178,,
