"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","AVWAGE","TOT","USD","A","2003",17946,
"CZE","AVWAGE","TOT","USD","A","2004",18830,
"CZE","AVWAGE","TOT","USD","A","2005",19384,
"CZE","AVWAGE","TOT","USD","A","2006",20149,
"CZE","AVWAGE","TOT","USD","A","2007",20744,
"CZE","AVWAGE","TOT","USD","A","2008",20751,
"CZE","AVWAGE","TOT","USD","A","2009",20699,
"CZE","AVWAGE","TOT","USD","A","2010",21180,
"CZE","AVWAGE","TOT","USD","A","2011",21372,
"CZE","AVWAGE","TOT","USD","A","2012",21357,
"CZE","AVWAGE","TOT","USD","A","2013",21121,
"CZE","AVWAGE","TOT","USD","A","2014",21260,
"CZE","AVWAGE","TOT","USD","A","2015",21689,
"DNK","AVWAGE","TOT","USD","A","2000",40841,
"DNK","AVWAGE","TOT","USD","A","2001",41148,
"DNK","AVWAGE","TOT","USD","A","2002",42093,
"DNK","AVWAGE","TOT","USD","A","2003",43143,
"DNK","AVWAGE","TOT","USD","A","2004",44134,
"DNK","AVWAGE","TOT","USD","A","2005",44902,
"DNK","AVWAGE","TOT","USD","A","2006",45694,
"DNK","AVWAGE","TOT","USD","A","2007",46235,
"DNK","AVWAGE","TOT","USD","A","2008",46870,
"DNK","AVWAGE","TOT","USD","A","2009",48003,
"DNK","AVWAGE","TOT","USD","A","2010",48513,
"DNK","AVWAGE","TOT","USD","A","2011",48273,
"DNK","AVWAGE","TOT","USD","A","2012",48161,
"DNK","AVWAGE","TOT","USD","A","2013",48247,
"DNK","AVWAGE","TOT","USD","A","2014",49054,
"DNK","AVWAGE","TOT","USD","A","2015",50024,
"FIN","AVWAGE","TOT","USD","A","2000",34386,
"FIN","AVWAGE","TOT","USD","A","2001",34765,
"FIN","AVWAGE","TOT","USD","A","2002",34962,
"FIN","AVWAGE","TOT","USD","A","2003",35635,
"FIN","AVWAGE","TOT","USD","A","2004",36827,
"FIN","AVWAGE","TOT","USD","A","2005",37675,
"FIN","AVWAGE","TOT","USD","A","2006",38552,
"FIN","AVWAGE","TOT","USD","A","2007",39139,
"FIN","AVWAGE","TOT","USD","A","2008",39518,
"FIN","AVWAGE","TOT","USD","A","2009",39837,
"FIN","AVWAGE","TOT","USD","A","2010",40463,
"FIN","AVWAGE","TOT","USD","A","2011",40602,
"FIN","AVWAGE","TOT","USD","A","2012",40630,
"FIN","AVWAGE","TOT","USD","A","2013",40194,
"FIN","AVWAGE","TOT","USD","A","2014",40255,
"FIN","AVWAGE","TOT","USD","A","2015",40731,
"FRA","AVWAGE","TOT","USD","A","2000",34923,
"FRA","AVWAGE","TOT","USD","A","2001",35153,
"FRA","AVWAGE","TOT","USD","A","2002",36100,
"FRA","AVWAGE","TOT","USD","A","2003",36400,
"FRA","AVWAGE","TOT","USD","A","2004",36995,
"FRA","AVWAGE","TOT","USD","A","2005",37438,
"FRA","AVWAGE","TOT","USD","A","2006",37853,
"FRA","AVWAGE","TOT","USD","A","2007",38010,
"FRA","AVWAGE","TOT","USD","A","2008",37938,
"FRA","AVWAGE","TOT","USD","A","2009",39097,
"FRA","AVWAGE","TOT","USD","A","2010",39877,
"FRA","AVWAGE","TOT","USD","A","2011",39805,
"FRA","AVWAGE","TOT","USD","A","2012",40067,
"FRA","AVWAGE","TOT","USD","A","2013",40252,
"FRA","AVWAGE","TOT","USD","A","2014",40687,
"FRA","AVWAGE","TOT","USD","A","2015",41252,
"DEU","AVWAGE","TOT","USD","A","2000",40651,
"DEU","AVWAGE","TOT","USD","A","2001",41056,
"DEU","AVWAGE","TOT","USD","A","2002",41272,
"DEU","AVWAGE","TOT","USD","A","2003",41218,
"DEU","AVWAGE","TOT","USD","A","2004",41215,
"DEU","AVWAGE","TOT","USD","A","2005",41143,
"DEU","AVWAGE","TOT","USD","A","2006",41177,
"DEU","AVWAGE","TOT","USD","A","2007",41106,
"DEU","AVWAGE","TOT","USD","A","2008",41367,
"DEU","AVWAGE","TOT","USD","A","2009",41530,
"DEU","AVWAGE","TOT","USD","A","2010",41698,
"DEU","AVWAGE","TOT","USD","A","2011",42428,
"DEU","AVWAGE","TOT","USD","A","2012",42885,
"DEU","AVWAGE","TOT","USD","A","2013",43318,
"DEU","AVWAGE","TOT","USD","A","2014",43941,
"DEU","AVWAGE","TOT","USD","A","2015",44925,
"GRC","AVWAGE","TOT","USD","A","2000",25684,
"GRC","AVWAGE","TOT","USD","A","2001",26200,
"GRC","AVWAGE","TOT","USD","A","2002",28634,
"GRC","AVWAGE","TOT","USD","A","2003",29877,
"GRC","AVWAGE","TOT","USD","A","2004",30413,
"GRC","AVWAGE","TOT","USD","A","2005",30322,
"GRC","AVWAGE","TOT","USD","A","2006",30685,
"GRC","AVWAGE","TOT","USD","A","2007",30677,
"GRC","AVWAGE","TOT","USD","A","2008",30217,
"GRC","AVWAGE","TOT","USD","A","2009",31635,
"GRC","AVWAGE","TOT","USD","A","2010",29528,
"GRC","AVWAGE","TOT","USD","A","2011",27590,
"GRC","AVWAGE","TOT","USD","A","2012",26340,
"GRC","AVWAGE","TOT","USD","A","2013",24812,
"GRC","AVWAGE","TOT","USD","A","2014",24993,
"GRC","AVWAGE","TOT","USD","A","2015",25211,
"HUN","AVWAGE","TOT","USD","A","2000",15591,
"HUN","AVWAGE","TOT","USD","A","2001",16700,
"HUN","AVWAGE","TOT","USD","A","2002",17568,
"HUN","AVWAGE","TOT","USD","A","2003",19169,
"HUN","AVWAGE","TOT","USD","A","2004",20075,
"HUN","AVWAGE","TOT","USD","A","2005",20821,
"HUN","AVWAGE","TOT","USD","A","2006",21220,
"HUN","AVWAGE","TOT","USD","A","2007",20951,
"HUN","AVWAGE","TOT","USD","A","2008",21214,
"HUN","AVWAGE","TOT","USD","A","2009",20461,
"HUN","AVWAGE","TOT","USD","A","2010",20334,
"HUN","AVWAGE","TOT","USD","A","2011",20278,
"HUN","AVWAGE","TOT","USD","A","2012",19636,
"HUN","AVWAGE","TOT","USD","A","2013",19616,
"HUN","AVWAGE","TOT","USD","A","2014",19419,
"HUN","AVWAGE","TOT","USD","A","2015",19999,
"IRL","AVWAGE","TOT","USD","A","2000",37425,
"IRL","AVWAGE","TOT","USD","A","2001",38532,
"IRL","AVWAGE","TOT","USD","A","2002",38544,
"IRL","AVWAGE","TOT","USD","A","2003",39693,
"IRL","AVWAGE","TOT","USD","A","2004",41010,
"IRL","AVWAGE","TOT","USD","A","2005",42709,
"IRL","AVWAGE","TOT","USD","A","2006",43327,
"IRL","AVWAGE","TOT","USD","A","2007",44510,
"IRL","AVWAGE","TOT","USD","A","2008",45774,
"IRL","AVWAGE","TOT","USD","A","2009",49276,
"IRL","AVWAGE","TOT","USD","A","2010",48431,
"IRL","AVWAGE","TOT","USD","A","2011",48120,
"IRL","AVWAGE","TOT","USD","A","2012",47827,
"IRL","AVWAGE","TOT","USD","A","2013",46318,
"IRL","AVWAGE","TOT","USD","A","2014",45900,
"IRL","AVWAGE","TOT","USD","A","2015",46074,
"ITA","AVWAGE","TOT","USD","A","2000",33555,
"ITA","AVWAGE","TOT","USD","A","2001",33720,
"ITA","AVWAGE","TOT","USD","A","2002",33492,
"ITA","AVWAGE","TOT","USD","A","2003",33458,
"ITA","AVWAGE","TOT","USD","A","2004",34138,
"ITA","AVWAGE","TOT","USD","A","2005",34528,
"ITA","AVWAGE","TOT","USD","A","2006",34768,
"ITA","AVWAGE","TOT","USD","A","2007",34732,
"ITA","AVWAGE","TOT","USD","A","2008",34770,
"ITA","AVWAGE","TOT","USD","A","2009",34941,
"ITA","AVWAGE","TOT","USD","A","2010",35275,
"ITA","AVWAGE","TOT","USD","A","2011",34728,
"ITA","AVWAGE","TOT","USD","A","2012",33681,
"ITA","AVWAGE","TOT","USD","A","2013",33730,
"ITA","AVWAGE","TOT","USD","A","2014",33890,
"ITA","AVWAGE","TOT","USD","A","2015",34140,
"JPN","AVWAGE","TOT","USD","A","2000",36044,
"JPN","AVWAGE","TOT","USD","A","2001",35888,
"JPN","AVWAGE","TOT","USD","A","2002",35277,
"JPN","AVWAGE","TOT","USD","A","2003",35273,
"JPN","AVWAGE","TOT","USD","A","2004",35360,
"JPN","AVWAGE","TOT","USD","A","2005",35969,
"JPN","AVWAGE","TOT","USD","A","2006",35573,
"JPN","AVWAGE","TOT","USD","A","2007",35245,
"JPN","AVWAGE","TOT","USD","A","2008",35352,
"JPN","AVWAGE","TOT","USD","A","2009",34847,
"JPN","AVWAGE","TOT","USD","A","2010",35502,
"JPN","AVWAGE","TOT","USD","A","2011",36385,
"JPN","AVWAGE","TOT","USD","A","2012",35967,
"JPN","AVWAGE","TOT","USD","A","2013",36129,
"JPN","AVWAGE","TOT","USD","A","2014",35620,
"JPN","AVWAGE","TOT","USD","A","2015",35780,
"KOR","AVWAGE","TOT","USD","A","2000",26622,
"KOR","AVWAGE","TOT","USD","A","2001",27242,
"KOR","AVWAGE","TOT","USD","A","2002",28121,
"KOR","AVWAGE","TOT","USD","A","2003",29125,
"KOR","AVWAGE","TOT","USD","A","2004",29829,
"KOR","AVWAGE","TOT","USD","A","2005",30820,
"KOR","AVWAGE","TOT","USD","A","2006",31321,
"KOR","AVWAGE","TOT","USD","A","2007",32070,
"KOR","AVWAGE","TOT","USD","A","2008",31838,
"KOR","AVWAGE","TOT","USD","A","2009",31786,
"KOR","AVWAGE","TOT","USD","A","2010",32293,
"KOR","AVWAGE","TOT","USD","A","2011",32689,
"KOR","AVWAGE","TOT","USD","A","2012",32237,
"KOR","AVWAGE","TOT","USD","A","2013",32708,
"KOR","AVWAGE","TOT","USD","A","2014",32732,
"KOR","AVWAGE","TOT","USD","A","2015",33110,
"LUX","AVWAGE","TOT","USD","A","2000",52074,
"LUX","AVWAGE","TOT","USD","A","2001",52666,
"LUX","AVWAGE","TOT","USD","A","2002",53727,
"LUX","AVWAGE","TOT","USD","A","2003",53618,
"LUX","AVWAGE","TOT","USD","A","2004",54352,
"LUX","AVWAGE","TOT","USD","A","2005",54710,
"LUX","AVWAGE","TOT","USD","A","2006",55470,
"LUX","AVWAGE","TOT","USD","A","2007",56951,
"LUX","AVWAGE","TOT","USD","A","2008",57139,
"LUX","AVWAGE","TOT","USD","A","2009",58041,
"LUX","AVWAGE","TOT","USD","A","2010",58704,
"LUX","AVWAGE","TOT","USD","A","2011",58134,
"LUX","AVWAGE","TOT","USD","A","2012",57761,
"LUX","AVWAGE","TOT","USD","A","2013",59007,
"LUX","AVWAGE","TOT","USD","A","2014",60196,
"LUX","AVWAGE","TOT","USD","A","2015",60369,
"MEX","AVWAGE","TOT","USD","A","2000",13797,
"MEX","AVWAGE","TOT","USD","A","2001",14535,
"MEX","AVWAGE","TOT","USD","A","2002",14698,
"MEX","AVWAGE","TOT","USD","A","2003",15795,
"MEX","AVWAGE","TOT","USD","A","2004",15680,
"MEX","AVWAGE","TOT","USD","A","2005",15851,
"MEX","AVWAGE","TOT","USD","A","2006",15987,
"MEX","AVWAGE","TOT","USD","A","2007",16127,
"MEX","AVWAGE","TOT","USD","A","2008",16005,
"MEX","AVWAGE","TOT","USD","A","2009",15682,
"MEX","AVWAGE","TOT","USD","A","2010",14994,
"MEX","AVWAGE","TOT","USD","A","2011",15272,
"MEX","AVWAGE","TOT","USD","A","2012",15223,
"MEX","AVWAGE","TOT","USD","A","2013",15333,
"MEX","AVWAGE","TOT","USD","A","2014",15109,
"MEX","AVWAGE","TOT","USD","A","2015",14867,
"NLD","AVWAGE","TOT","USD","A","2000",45101,
"NLD","AVWAGE","TOT","USD","A","2001",45707,
"NLD","AVWAGE","TOT","USD","A","2002",45995,
"NLD","AVWAGE","TOT","USD","A","2003",46498,
"NLD","AVWAGE","TOT","USD","A","2004",47151,
"NLD","AVWAGE","TOT","USD","A","2005",47319,
"NLD","AVWAGE","TOT","USD","A","2006",47284,
"NLD","AVWAGE","TOT","USD","A","2007",47815,
"NLD","AVWAGE","TOT","USD","A","2008",48100,
"NLD","AVWAGE","TOT","USD","A","2009",49971,
"NLD","AVWAGE","TOT","USD","A","2010",50235,
"NLD","AVWAGE","TOT","USD","A","2011",49925,
"NLD","AVWAGE","TOT","USD","A","2012",50044,
"NLD","AVWAGE","TOT","USD","A","2013",50128,
"NLD","AVWAGE","TOT","USD","A","2014",49707,
"NLD","AVWAGE","TOT","USD","A","2015",50670,
"NOR","AVWAGE","TOT","USD","A","2000",35680,
"NOR","AVWAGE","TOT","USD","A","2001",36584,
"NOR","AVWAGE","TOT","USD","A","2002",38024,
"NOR","AVWAGE","TOT","USD","A","2003",38508,
"NOR","AVWAGE","TOT","USD","A","2004",39758,
"NOR","AVWAGE","TOT","USD","A","2005",40867,
"NOR","AVWAGE","TOT","USD","A","2006",42466,
"NOR","AVWAGE","TOT","USD","A","2007",44286,
"NOR","AVWAGE","TOT","USD","A","2008",45321,
"NOR","AVWAGE","TOT","USD","A","2009",45771,
"NOR","AVWAGE","TOT","USD","A","2010",46377,
"NOR","AVWAGE","TOT","USD","A","2011",47930,
"NOR","AVWAGE","TOT","USD","A","2012",49232,
"NOR","AVWAGE","TOT","USD","A","2013",50241,
"NOR","AVWAGE","TOT","USD","A","2014",50614,
"NOR","AVWAGE","TOT","USD","A","2015",50908,
"POL","AVWAGE","TOT","USD","A","2000",19314,
"POL","AVWAGE","TOT","USD","A","2001",20409,
"POL","AVWAGE","TOT","USD","A","2002",20337,
"POL","AVWAGE","TOT","USD","A","2003",20587,
"POL","AVWAGE","TOT","USD","A","2004",20222,
"POL","AVWAGE","TOT","USD","A","2005",20109,
"POL","AVWAGE","TOT","USD","A","2006",20257,
"POL","AVWAGE","TOT","USD","A","2007",20724,
"POL","AVWAGE","TOT","USD","A","2008",21969,
"POL","AVWAGE","TOT","USD","A","2009",21921,
"POL","AVWAGE","TOT","USD","A","2010",22669,
"POL","AVWAGE","TOT","USD","A","2011",22669,
"POL","AVWAGE","TOT","USD","A","2012",22457,
"POL","AVWAGE","TOT","USD","A","2013",22723,
"POL","AVWAGE","TOT","USD","A","2014",23156,
"POL","AVWAGE","TOT","USD","A","2015",23998,
"PRT","AVWAGE","TOT","USD","A","2000",25557,
"PRT","AVWAGE","TOT","USD","A","2001",25669,
"PRT","AVWAGE","TOT","USD","A","2002",25657,
"PRT","AVWAGE","TOT","USD","A","2003",25590,
"PRT","AVWAGE","TOT","USD","A","2004",25634,
"PRT","AVWAGE","TOT","USD","A","2005",25487,
"PRT","AVWAGE","TOT","USD","A","2006",24935,
"PRT","AVWAGE","TOT","USD","A","2007",25111,
"PRT","AVWAGE","TOT","USD","A","2008",25029,
"PRT","AVWAGE","TOT","USD","A","2009",26185,
"PRT","AVWAGE","TOT","USD","A","2010",26085,
"PRT","AVWAGE","TOT","USD","A","2011",25465,
"PRT","AVWAGE","TOT","USD","A","2012",24365,
"PRT","AVWAGE","TOT","USD","A","2013",24865,
"PRT","AVWAGE","TOT","USD","A","2014",24359,
"PRT","AVWAGE","TOT","USD","A","2015",24105,
"SVK","AVWAGE","TOT","USD","A","2000",15243,
"SVK","AVWAGE","TOT","USD","A","2001",15233,
"SVK","AVWAGE","TOT","USD","A","2002",16033,
"SVK","AVWAGE","TOT","USD","A","2003",16383,
"SVK","AVWAGE","TOT","USD","A","2004",16652,
"SVK","AVWAGE","TOT","USD","A","2005",17733,
"SVK","AVWAGE","TOT","USD","A","2006",18321,
"SVK","AVWAGE","TOT","USD","A","2007",19447,
"SVK","AVWAGE","TOT","USD","A","2008",19640,
"SVK","AVWAGE","TOT","USD","A","2009",20302,
"SVK","AVWAGE","TOT","USD","A","2010",21196,
"SVK","AVWAGE","TOT","USD","A","2011",21008,
"SVK","AVWAGE","TOT","USD","A","2012",20776,
"SVK","AVWAGE","TOT","USD","A","2013",20934,
"SVK","AVWAGE","TOT","USD","A","2014",21340,
"SVK","AVWAGE","TOT","USD","A","2015",22031,
"ESP","AVWAGE","TOT","USD","A","2000",34273,
"ESP","AVWAGE","TOT","USD","A","2001",34266,
"ESP","AVWAGE","TOT","USD","A","2002",34518,
"ESP","AVWAGE","TOT","USD","A","2003",34425,
"ESP","AVWAGE","TOT","USD","A","2004",34070,
"ESP","AVWAGE","TOT","USD","A","2005",34268,
"ESP","AVWAGE","TOT","USD","A","2006",34138,
"ESP","AVWAGE","TOT","USD","A","2007",34585,
"ESP","AVWAGE","TOT","USD","A","2008",35977,
"ESP","AVWAGE","TOT","USD","A","2009",38414,
"ESP","AVWAGE","TOT","USD","A","2010",37755,
"ESP","AVWAGE","TOT","USD","A","2011",37220,
"ESP","AVWAGE","TOT","USD","A","2012",36062,
"ESP","AVWAGE","TOT","USD","A","2013",36382,
"ESP","AVWAGE","TOT","USD","A","2014",36034,
"ESP","AVWAGE","TOT","USD","A","2015",36325,
"SWE","AVWAGE","TOT","USD","A","2000",32429,
"SWE","AVWAGE","TOT","USD","A","2001",32612,
"SWE","AVWAGE","TOT","USD","A","2002",32881,
"SWE","AVWAGE","TOT","USD","A","2003",33291,
"SWE","AVWAGE","TOT","USD","A","2004",34299,
"SWE","AVWAGE","TOT","USD","A","2005",34969,
"SWE","AVWAGE","TOT","USD","A","2006",35814,
"SWE","AVWAGE","TOT","USD","A","2007",36971,
"SWE","AVWAGE","TOT","USD","A","2008",37481,
"SWE","AVWAGE","TOT","USD","A","2009",37728,
"SWE","AVWAGE","TOT","USD","A","2010",37951,
"SWE","AVWAGE","TOT","USD","A","2011",38428,
"SWE","AVWAGE","TOT","USD","A","2012",39283,
"SWE","AVWAGE","TOT","USD","A","2013",39692,
"SWE","AVWAGE","TOT","USD","A","2014",40201,
"SWE","AVWAGE","TOT","USD","A","2015",40909,
"CHE","AVWAGE","TOT","USD","A","2000",50330,
"CHE","AVWAGE","TOT","USD","A","2001",52185,
"CHE","AVWAGE","TOT","USD","A","2002",52855,
"CHE","AVWAGE","TOT","USD","A","2003",52948,
"CHE","AVWAGE","TOT","USD","A","2004",52369,
"CHE","AVWAGE","TOT","USD","A","2005",53122,
"CHE","AVWAGE","TOT","USD","A","2006",53516,
"CHE","AVWAGE","TOT","USD","A","2007",54267,
"CHE","AVWAGE","TOT","USD","A","2008",54512,
"CHE","AVWAGE","TOT","USD","A","2009",55593,
"CHE","AVWAGE","TOT","USD","A","2010",55540,
"CHE","AVWAGE","TOT","USD","A","2011",55815,
"CHE","AVWAGE","TOT","USD","A","2012",56902,
"CHE","AVWAGE","TOT","USD","A","2013",57707,
"CHE","AVWAGE","TOT","USD","A","2014",58210,
"CHE","AVWAGE","TOT","USD","A","2015",58389,
"GBR","AVWAGE","TOT","USD","A","2000",38829,
"GBR","AVWAGE","TOT","USD","A","2001",40708,
"GBR","AVWAGE","TOT","USD","A","2002",41318,
"GBR","AVWAGE","TOT","USD","A","2003",42206,
"GBR","AVWAGE","TOT","USD","A","2004",42959,
"GBR","AVWAGE","TOT","USD","A","2005",42766,
"GBR","AVWAGE","TOT","USD","A","2006",43807,
"GBR","AVWAGE","TOT","USD","A","2007",44842,
"GBR","AVWAGE","TOT","USD","A","2008",43552,
"GBR","AVWAGE","TOT","USD","A","2009",43889,
"GBR","AVWAGE","TOT","USD","A","2010",42760,
"GBR","AVWAGE","TOT","USD","A","2011",41679,
"GBR","AVWAGE","TOT","USD","A","2012",41514,
"GBR","AVWAGE","TOT","USD","A","2013",40971,
"GBR","AVWAGE","TOT","USD","A","2014",40652,
"GBR","AVWAGE","TOT","USD","A","2015",41384,
"USA","AVWAGE","TOT","USD","A","2000",51295,
"USA","AVWAGE","TOT","USD","A","2001",51726,
"USA","AVWAGE","TOT","USD","A","2002",52122,
"USA","AVWAGE","TOT","USD","A","2003",52731,
"USA","AVWAGE","TOT","USD","A","2004",53755,
"USA","AVWAGE","TOT","USD","A","2005",53811,
"USA","AVWAGE","TOT","USD","A","2006",54690,
"USA","AVWAGE","TOT","USD","A","2007",55780,
"USA","AVWAGE","TOT","USD","A","2008",55560,
"USA","AVWAGE","TOT","USD","A","2009",56042,
"USA","AVWAGE","TOT","USD","A","2010",56398,
"USA","AVWAGE","TOT","USD","A","2011",56540,
"USA","AVWAGE","TOT","USD","A","2012",56995,
"USA","AVWAGE","TOT","USD","A","2013",56701,
"USA","AVWAGE","TOT","USD","A","2014",57594,
"USA","AVWAGE","TOT","USD","A","2015",58714,
"EST","AVWAGE","TOT","USD","A","2000",11858,
"EST","AVWAGE","TOT","USD","A","2001",12265,
"EST","AVWAGE","TOT","USD","A","2002",12836,
"EST","AVWAGE","TOT","USD","A","2003",14051,
"EST","AVWAGE","TOT","USD","A","2004",15092,
"EST","AVWAGE","TOT","USD","A","2005",16066,
"EST","AVWAGE","TOT","USD","A","2006",17236,
"EST","AVWAGE","TOT","USD","A","2007",19929,
"EST","AVWAGE","TOT","USD","A","2008",20079,
"EST","AVWAGE","TOT","USD","A","2009",19263,
"EST","AVWAGE","TOT","USD","A","2010",19237,
"EST","AVWAGE","TOT","USD","A","2011",18375,
"EST","AVWAGE","TOT","USD","A","2012",18879,
"EST","AVWAGE","TOT","USD","A","2013",19226,
"EST","AVWAGE","TOT","USD","A","2014",20435,
"EST","AVWAGE","TOT","USD","A","2015",21564,
"ISR","AVWAGE","TOT","USD","A","2005",27689,
"ISR","AVWAGE","TOT","USD","A","2006",28919,
"ISR","AVWAGE","TOT","USD","A","2007",29476,
"ISR","AVWAGE","TOT","USD","A","2008",28711,
"ISR","AVWAGE","TOT","USD","A","2009",28021,
"ISR","AVWAGE","TOT","USD","A","2010",27883,
"ISR","AVWAGE","TOT","USD","A","2011",28126,
"ISR","AVWAGE","TOT","USD","A","2012",28565,
"ISR","AVWAGE","TOT","USD","A","2013",28846,
"ISR","AVWAGE","TOT","USD","A","2014",28949,
"ISR","AVWAGE","TOT","USD","A","2015",29794,
"SVN","AVWAGE","TOT","USD","A","2000",25676,
"SVN","AVWAGE","TOT","USD","A","2001",26730,
"SVN","AVWAGE","TOT","USD","A","2002",26721,
"SVN","AVWAGE","TOT","USD","A","2003",27284,
"SVN","AVWAGE","TOT","USD","A","2004",28604,
"SVN","AVWAGE","TOT","USD","A","2005",29722,
"SVN","AVWAGE","TOT","USD","A","2006",30682,
"SVN","AVWAGE","TOT","USD","A","2007",31345,
"SVN","AVWAGE","TOT","USD","A","2008",31818,
"SVN","AVWAGE","TOT","USD","A","2009",32106,
"SVN","AVWAGE","TOT","USD","A","2010",33070,
"SVN","AVWAGE","TOT","USD","A","2011",32983,
"SVN","AVWAGE","TOT","USD","A","2012",32055,
"SVN","AVWAGE","TOT","USD","A","2013",32002,
"SVN","AVWAGE","TOT","USD","A","2014",32443,
"SVN","AVWAGE","TOT","USD","A","2015",33085,
"OECD","AVWAGE","TOT","USD","A","2000",37782,
"OECD","AVWAGE","TOT","USD","A","2001",38216,
"OECD","AVWAGE","TOT","USD","A","2002",38342,
"OECD","AVWAGE","TOT","USD","A","2003",38725,
"OECD","AVWAGE","TOT","USD","A","2004",39231,
"OECD","AVWAGE","TOT","USD","A","2005",39437,
"OECD","AVWAGE","TOT","USD","A","2006",39765,
"OECD","AVWAGE","TOT","USD","A","2007",40216,
"OECD","AVWAGE","TOT","USD","A","2008",40117,
"OECD","AVWAGE","TOT","USD","A","2009",40345,
"OECD","AVWAGE","TOT","USD","A","2010",40301,
"OECD","AVWAGE","TOT","USD","A","2011",40413,
"OECD","AVWAGE","TOT","USD","A","2012",40434,
"OECD","AVWAGE","TOT","USD","A","2013",40461,
"OECD","AVWAGE","TOT","USD","A","2014",40710,
"OECD","AVWAGE","TOT","USD","A","2015",41253,
"ISL","AVWAGE","TOT","USD","A","2000",46269,
"ISL","AVWAGE","TOT","USD","A","2001",45900,
"ISL","AVWAGE","TOT","USD","A","2002",47410,
"ISL","AVWAGE","TOT","USD","A","2003",46203,
"ISL","AVWAGE","TOT","USD","A","2004",49185,
"ISL","AVWAGE","TOT","USD","A","2005",52179,
"ISL","AVWAGE","TOT","USD","A","2006",54196,
