"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"2000","Cyprus","Population on 1 January - females","350,842",""
"2000","Cyprus","Average population - total","694,023",""
"2000","Cyprus","Average population - males","341,204",""
"2000","Latvia","Population on 1 January - total ","2,381,715",""
"2000","Latvia","Population on 1 January - males","1,096,888",""
"2000","Latvia","Population on 1 January - females","1,284,827",""
"2000","Latvia","Average population - total","2,367,550",""
"2000","Latvia","Average population - males","1,089,926",""
"2000","Lithuania","Population on 1 January - total ","3,512,074",""
"2000","Lithuania","Population on 1 January - males","1,644,301",""
"2000","Lithuania","Population on 1 January - females","1,867,773",""
"2000","Lithuania","Average population - total","3,499,536",""
"2000","Lithuania","Average population - males","1,637,616",""
"2000","Luxembourg","Population on 1 January - total ","433,600",""
"2000","Luxembourg","Population on 1 January - males","213,615",""
"2000","Luxembourg","Population on 1 January - females","219,985",""
"2000","Luxembourg","Average population - total","436,300",""
"2000","Luxembourg","Average population - males","214,958",""
"2000","Hungary","Population on 1 January - total ","10,221,644",""
"2000","Hungary","Population on 1 January - males","4,865,194",""
"2000","Hungary","Population on 1 January - females","5,356,450",""
"2000","Hungary","Average population - total","10,210,971",""
"2000","Hungary","Average population - males","4,858,103",""
"2000","Malta","Population on 1 January - total ","388,759",""
"2000","Malta","Population on 1 January - males","192,428",""
"2000","Malta","Population on 1 January - females","196,331",""
"2000","Malta","Average population - total","390,087",""
"2000","Malta","Average population - males","193,059",""
"2000","Netherlands","Population on 1 January - total ","15,863,950",""
"2000","Netherlands","Population on 1 January - males","7,846,317",""
"2000","Netherlands","Population on 1 January - females","8,017,633",""
"2000","Netherlands","Average population - total","15,925,513",""
"2000","Netherlands","Average population - males","7,878,086",""
"2000","Austria","Population on 1 January - total ","8,002,186",""
"2000","Austria","Population on 1 January - males","3,868,331",""
"2000","Austria","Population on 1 January - females","4,133,855",""
"2000","Austria","Average population - total","8,011,566",""
"2000","Austria","Average population - males","3,874,718",""
"2000","Poland","Population on 1 January - total ","38,263,303","b"
"2000","Poland","Population on 1 January - males","18,547,799","b"
"2000","Poland","Population on 1 January - females","19,715,504","b"
"2000","Poland","Average population - total","38,258,629","b"
"2000","Poland","Average population - males","18,542,569","b"
"2000","Portugal","Population on 1 January - total ","10,249,022",""
"2000","Portugal","Population on 1 January - males","4,944,150",""
"2000","Portugal","Population on 1 January - females","5,304,872",""
"2000","Portugal","Average population - total","10,289,898",""
"2000","Portugal","Average population - males","4,965,304",""
"2000","Romania","Population on 1 January - total ","22,455,485",""
"2000","Romania","Population on 1 January - males","10,980,041",""
"2000","Romania","Population on 1 January - females","11,475,444",""
"2000","Romania","Average population - total","22,442,971",""
"2000","Romania","Average population - males","10,971,703",""
"2000","Slovenia","Population on 1 January - total ","1,987,755",""
"2000","Slovenia","Population on 1 January - males","970,812",""
"2000","Slovenia","Population on 1 January - females","1,016,943",""
"2000","Slovenia","Average population - total","1,988,925",""
"2000","Slovenia","Average population - males","971,777",""
"2000","Slovakia","Population on 1 January - total ","5,398,657",""
"2000","Slovakia","Population on 1 January - males","2,625,126",""
"2000","Slovakia","Population on 1 January - females","2,773,531",""
"2000","Slovakia","Average population - total","5,388,720",""
"2000","Slovakia","Average population - males","2,618,819",""
"2000","Finland","Population on 1 January - total ","5,171,302",""
"2000","Finland","Population on 1 January - males","2,523,026",""
"2000","Finland","Population on 1 January - females","2,648,276",""
"2000","Finland","Average population - total","5,176,209",""
"2000","Finland","Average population - males","2,526,184",""
"2000","Sweden","Population on 1 January - total ","8,861,426",""
"2000","Sweden","Population on 1 January - males","4,380,118",""
"2000","Sweden","Population on 1 January - females","4,481,308",""
"2000","Sweden","Average population - total","8,872,109",""
"2000","Sweden","Average population - males","4,386,436",""
"2000","United Kingdom","Population on 1 January - total ","58,785,246",""
"2000","United Kingdom","Population on 1 January - males","28,634,462",""
"2000","United Kingdom","Population on 1 January - females","30,150,784",""
"2000","United Kingdom","Average population - total","58,892,514",""
"2000","United Kingdom","Average population - males","28,697,949",""
"2000","Iceland","Population on 1 January - total ","279,049",""
"2000","Iceland","Population on 1 January - males","139,665",""
"2000","Iceland","Population on 1 January - females","139,384",""
"2000","Iceland","Average population - total","281,205",""
"2000","Iceland","Average population - males","140,768",""
"2000","Liechtenstein","Population on 1 January - total ","32,426",""
"2000","Liechtenstein","Population on 1 January - males","15,776",""
"2000","Liechtenstein","Population on 1 January - females","16,650",""
"2000","Liechtenstein","Average population - total","32,645",""
"2000","Liechtenstein","Average population - males","15,907",""
"2000","Norway","Population on 1 January - total ","4,478,497",""
"2000","Norway","Population on 1 January - males","2,217,140",""
"2000","Norway","Population on 1 January - females","2,261,357",""
"2000","Norway","Average population - total","4,490,967",""
"2000","Norway","Average population - males","2,224,221",""
"2000","Switzerland","Population on 1 January - total ","7,164,444",""
"2000","Switzerland","Population on 1 January - males","3,500,708",""
"2000","Switzerland","Population on 1 January - females","3,663,736",""
"2000","Switzerland","Average population - total","7,184,250",""
"2000","Switzerland","Average population - males","3,510,203",""
"2000","Albania","Population on 1 January - total ","3,058,497",""
"2000","Albania","Population on 1 January - males","1,531,735",""
"2000","Albania","Population on 1 January - females","1,526,762",""
"2000","Albania","Average population - total","3,060,908",""
"2000","Albania","Average population - males","1,529,616",""
"2000","Serbia","Population on 1 January - total ","7,527,952",""
"2000","Serbia","Population on 1 January - males","3,662,086",""
"2000","Serbia","Population on 1 January - females","3,865,866",""
"2000","Serbia","Average population - total","7,516,346",""
"2000","Serbia","Average population - males","3,655,771",""
"2000","Turkey","Population on 1 January - total ","66,889,425",""
"2000","Turkey","Population on 1 January - males","33,788,954",""
"2000","Turkey","Population on 1 January - females","33,100,471",""
"2000","Turkey","Average population - total","65,809,463",""
"2000","Turkey","Average population - males","33,093,902",""
"2000","Andorra","Population on 1 January - total ","65,971",""
"2000","Andorra","Population on 1 January - males","34,433",""
"2000","Andorra","Population on 1 January - females","31,538",""
"2000","Andorra","Average population - total","65,908",""
"2000","Andorra","Average population - males","34,351",""
"2000","Belarus","Population on 1 January - total ","10,019,480",""
"2000","Belarus","Population on 1 January - males","4,703,212",""
"2000","Belarus","Population on 1 January - females","5,316,268",""
"2000","Belarus","Average population - total","10,004,958",""
"2000","Belarus","Average population - males","4,695,465",""
"2000","Bosnia and Herzegovina","Population on 1 January - total ","3,753,085","e"
"2000","Bosnia and Herzegovina","Population on 1 January - males","1,839,012","e"
"2000","Bosnia and Herzegovina","Population on 1 January - females","1,914,073","e"
"2000","Bosnia and Herzegovina","Average population - total","3,771,401",""
"2000","Bosnia and Herzegovina","Average population - males","1,847,987",""
"2000","Moldova","Population on 1 January - total ","3,644,070",""
"2000","Moldova","Population on 1 January - males","1,744,458",""
"2000","Moldova","Population on 1 January - females","1,899,612",""
"2000","Moldova","Average population - total","3,639,591",""
"2000","Moldova","Average population - males","1,742,535",""
"2000","Monaco","Population on 1 January - total ",":",""
"2000","Monaco","Population on 1 January - males",":",""
"2000","Monaco","Population on 1 January - females",":",""
"2000","Monaco","Average population - total",":",""
"2000","Monaco","Average population - males",":",""
"2000","Russia","Population on 1 January - total ","146,890,128",""
"2000","Russia","Population on 1 January - males","68,698,313",""
"2000","Russia","Population on 1 January - females","78,191,815",""
"2000","Russia","Average population - total","146,596,870",""
"2000","Russia","Average population - males","68,518,609",""
"2000","San Marino","Population on 1 January - total ",":",""
"2000","San Marino","Population on 1 January - males",":",""
"2000","San Marino","Population on 1 January - females",":",""
"2000","San Marino","Average population - total",":",""
"2000","San Marino","Average population - males",":",""
"2000","Ukraine","Population on 1 January - total ","49,114,950",""
"2000","Ukraine","Population on 1 January - males","22,754,662",""
"2000","Ukraine","Population on 1 January - females","26,360,288",""
"2000","Ukraine","Average population - total","48,889,280",""
"2000","Ukraine","Average population - males","22,642,532",""
"2000","Armenia","Population on 1 January - total ","3,226,900",""
"2000","Armenia","Population on 1 January - males","1,545,700",""
"2000","Armenia","Population on 1 January - females","1,681,200",""
"2000","Armenia","Average population - total","3,221,100",""
"2000","Armenia","Average population - males","1,544,400",""
"2001","Belgium","Population on 1 January - total ","10,263,414",""
"2001","Belgium","Population on 1 January - males","5,018,019",""
"2001","Belgium","Population on 1 January - females","5,245,395",""
"2001","Belgium","Average population - total","10,286,570",""
"2001","Belgium","Average population - males","5,030,154",""
"2001","Bulgaria","Population on 1 January - total ","8,149,468",""
"2001","Bulgaria","Population on 1 January - males","3,967,423",""
"2001","Bulgaria","Population on 1 January - females","4,182,045",""
"2001","Bulgaria","Average population - total","8,009,142",""
"2001","Bulgaria","Average population - males","3,900,281",""
"2001","Czech Republic","Population on 1 January - total ","10,232,027",""
"2001","Czech Republic","Population on 1 January - males","4,982,360",""
"2001","Czech Republic","Population on 1 January - females","5,249,667",""
"2001","Czech Republic","Average population - total","10,216,605",""
"2001","Czech Republic","Average population - males","4,973,936",""
"2001","Denmark","Population on 1 January - total ","5,349,212",""
"2001","Denmark","Population on 1 January - males","2,644,319",""
"2001","Denmark","Population on 1 January - females","2,704,893",""
"2001","Denmark","Average population - total","5,358,783",""
"2001","Denmark","Average population - males","2,649,233",""
"2001","Germany (until 1990 former territory of the FRG)","Population on 1 January - total ","82,259,540",""
"2001","Germany (until 1990 former territory of the FRG)","Population on 1 January - males","40,156,536",""
"2001","Germany (until 1990 former territory of the FRG)","Population on 1 January - females","42,103,004",""
"2001","Germany (until 1990 former territory of the FRG)","Average population - total","82,349,925",""
"2001","Germany (until 1990 former territory of the FRG)","Average population - males","40,215,606",""
"2001","Estonia","Population on 1 January - total ","1,392,720",""
"2001","Estonia","Population on 1 January - males","649,070",""
"2001","Estonia","Population on 1 January - females","743,650",""
"2001","Estonia","Average population - total","1,388,115",""
"2001","Estonia","Average population - males","646,685",""
"2001","Ireland","Population on 1 January - total ","3,832,783",""
"2001","Ireland","Population on 1 January - males","1,905,582",""
"2001","Ireland","Population on 1 January - females","1,927,201",""
"2001","Ireland","Average population - total","3,866,243",""
"2001","Ireland","Average population - males","1,921,744",""
"2001","Greece","Population on 1 January - total ","10,835,989",""
"2001","Greece","Population on 1 January - males","5,330,048",""
"2001","Greece","Population on 1 January - females","5,505,941",""
"2001","Greece","Average population - total","10,862,132",""
"2001","Greece","Average population - males","5,355,547",""
"2001","Spain","Population on 1 January - total ","40,665,545",""
"2001","Spain","Population on 1 January - males","19,923,892",""
"2001","Spain","Population on 1 January - females","20,741,653",""
"2001","Spain","Average population - total","40,850,412",""
"2001","Spain","Average population - males","20,019,708",""
"2001","France","Population on 1 January - total ","60,979,315",""
"2001","France","Population on 1 January - males","29,578,326",""
"2001","France","Population on 1 January - females","31,400,989",""
"2001","France","Average population - total","61,201,676",""
"2001","France","Average population - males","29,678,219",""
"2001","Croatia","Population on 1 January - total ","4,295,406","b"
"2001","Croatia","Population on 1 January - males","2,064,097","b"
"2001","Croatia","Population on 1 January - females","2,231,309","b"
"2001","Croatia","Average population - total","4,300,450","b"
"2001","Croatia","Average population - males","2,066,562","b"
"2001","Italy","Population on 1 January - total ","56,960,692",""
"2001","Italy","Population on 1 January - males","27,576,326",""
"2001","Italy","Population on 1 January - females","29,384,366",""
"2001","Italy","Average population - total","56,974,100",""
"2001","Italy","Average population - males","27,580,688",""
"2001","Cyprus","Population on 1 January - total ","697,549",""
"2001","Cyprus","Population on 1 January - males","342,752",""
"2001","Cyprus","Population on 1 January - females","354,797",""
"2001","Cyprus","Average population - total","701,544",""
"2001","Cyprus","Average population - males","344,465",""
"2001","Latvia","Population on 1 January - total ","2,353,384",""
"2001","Latvia","Population on 1 January - males","1,082,964",""
"2001","Latvia","Population on 1 January - females","1,270,420",""
"2001","Latvia","Average population - total","2,337,170",""
"2001","Latvia","Average population - males","1,074,606",""
"2001","Lithuania","Population on 1 January - total ","3,486,998",""
"2001","Lithuania","Population on 1 January - males","1,630,930",""
"2001","Lithuania","Population on 1 January - females","1,856,068",""
"2001","Lithuania","Average population - total","3,470,818",""
"2001","Lithuania","Average population - males","1,622,242",""
"2001","Luxembourg","Population on 1 January - total ","439,000",""
"2001","Luxembourg","Population on 1 January - males","216,300",""
"2001","Luxembourg","Population on 1 January - females","222,700",""
"2001","Luxembourg","Average population - total","441,525",""
"2001","Luxembourg","Average population - males","217,562",""
"2001","Hungary","Population on 1 January - total ","10,200,298",""
"2001","Hungary","Population on 1 January - males","4,851,012",""
"2001","Hungary","Population on 1 January - females","5,349,286",""
"2001","Hungary","Average population - total","10,187,576",""
"2001","Hungary","Average population - males","4,843,996",""
"2001","Malta","Population on 1 January - total ","391,415",""
"2001","Malta","Population on 1 January - males","193,689",""
"2001","Malta","Population on 1 January - females","197,726",""
"2001","Malta","Average population - total","393,028",""
"2001","Malta","Average population - males","194,526",""
"2001","Netherlands","Population on 1 January - total ","15,987,075",""
"2001","Netherlands","Population on 1 January - males","7,909,855",""
"2001","Netherlands","Population on 1 January - females","8,077,220",""
"2001","Netherlands","Average population - total","16,046,180",""
"2001","Netherlands","Average population - males","7,940,911",""
"2001","Austria","Population on 1 January - total ","8,020,946",""
"2001","Austria","Population on 1 January - males","3,881,104",""
"2001","Austria","Population on 1 January - females","4,139,842",""
"2001","Austria","Average population - total","8,042,293",""
"2001","Austria","Average population - males","3,893,919",""
"2001","Poland","Population on 1 January - total ","38,253,955",""
"2001","Poland","Population on 1 January - males","18,537,339",""
"2001","Poland","Population on 1 January - females","19,716,616",""
"2001","Poland","Average population - total","38,248,076",""
"2001","Poland","Average population - males","18,531,251",""
"2001","Portugal","Population on 1 January - total ","10,330,774",""
"2001","Portugal","Population on 1 January - males","4,986,458",""
"2001","Portugal","Population on 1 January - females","5,344,316",""
"2001","Portugal","Average population - total","10,362,722",""
"2001","Portugal","Average population - males","5,002,916",""
"2001","Romania","Population on 1 January - total ","22,430,457",""
"2001","Romania","Population on 1 January - males","10,963,364",""
"2001","Romania","Population on 1 January - females","11,467,093",""
"2001","Romania","Average population - total","22,131,970",""
"2001","Romania","Average population - males","10,813,775",""
"2001","Slovenia","Population on 1 January - total ","1,990,094",""
"2001","Slovenia","Population on 1 January - males","972,742",""
"2001","Slovenia","Population on 1 January - females","1,017,352",""
"2001","Slovenia","Average population - total","1,992,060",""
"2001","Slovenia","Average population - males","973,872",""
"2001","Slovakia","Population on 1 January - total ","5,378,783",""
"2001","Slovakia","Population on 1 January - males","2,612,512",""
"2001","Slovakia","Population on 1 January - females","2,766,271",""
"2001","Slovakia","Average population - total","5,378,867",""
"2001","Slovakia","Average population - males","2,612,217",""
"2001","Finland","Population on 1 January - total ","5,181,115",""
"2001","Finland","Population on 1 January - males","2,529,341",""
"2001","Finland","Population on 1 January - females","2,651,774",""
"2001","Finland","Average population - total","5,188,008",""
"2001","Finland","Average population - males","2,533,469",""
"2001","Sweden","Population on 1 January - total ","8,882,792",""
"2001","Sweden","Population on 1 January - males","4,392,753",""
"2001","Sweden","Population on 1 January - females","4,490,039",""
"2001","Sweden","Average population - total","8,895,960",""
"2001","Sweden","Average population - males","4,400,599",""
"2001","United Kingdom","Population on 1 January - total ","58,999,781",""
"2001","United Kingdom","Population on 1 January - males","28,761,435",""
"2001","United Kingdom","Population on 1 January - females","30,238,346",""
"2001","United Kingdom","Average population - total","59,119,673",""
"2001","United Kingdom","Average population - males","28,832,025",""
"2001","Iceland","Population on 1 January - total ","283,361",""
"2001","Iceland","Population on 1 January - males","141,870",""
"2001","Iceland","Population on 1 January - females","141,491",""
"2001","Iceland","Average population - total","284,968",""
"2001","Iceland","Average population - males","142,660",""
"2001","Liechtenstein","Population on 1 January - total ","32,863",""
"2001","Liechtenstein","Population on 1 January - males","16,038",""
"2001","Liechtenstein","Population on 1 January - females","16,825",""
"2001","Liechtenstein","Average population - total","33,194",""
"2001","Liechtenstein","Average population - males","16,238",""
"2001","Norway","Population on 1 January - total ","4,503,436",""
"2001","Norway","Population on 1 January - males","2,231,301",""
"2001","Norway","Population on 1 January - females","2,272,135",""
"2001","Norway","Average population - total","4,513,751",""
"2001","Norway","Average population - males","2,236,618",""
"2001","Switzerland","Population on 1 January - total ","7,204,055",""
"2001","Switzerland","Population on 1 January - males","3,519,698",""
"2001","Switzerland","Population on 1 January - females","3,684,357",""
"2001","Switzerland","Average population - total","7,229,854",""
"2001","Switzerland","Average population - males","3,532,024",""
"2001","Albania","Population on 1 January - total ","3,063,318",""
"2001","Albania","Population on 1 January - males","1,527,496",""
"2001","Albania","Population on 1 January - females","1,535,822",""
"2001","Albania","Average population - total","3,073,733",""
"2001","Albania","Average population - males","1,532,598",""
"2001","Serbia","Population on 1 January - total ","7,504,739",""
"2001","Serbia","Population on 1 January - males","3,649,455",""
"2001","Serbia","Population on 1 January - females","3,855,284",""
"2001","Serbia","Average population - total","7,503,433",""
"2001","Serbia","Average population - males","3,648,533",""
"2001","Turkey","Population on 1 January - total ","64,729,501","b"
"2001","Turkey","Population on 1 January - males","32,398,849","b"
"2001","Turkey","Population on 1 January - females","32,330,652","b"
"2001","Turkey","Average population - total","65,166,331",""
"2001","Turkey","Average population - males","32,621,199",""
"2001","Andorra","Population on 1 January - total ","65,844",""
"2001","Andorra","Population on 1 January - males","34,268",""
"2001","Andorra","Population on 1 January - females","31,576",""
"2001","Andorra","Average population - total","66,089",""
"2001","Andorra","Average population - males","34,344",""
"2001","Belarus","Population on 1 January - total ","9,990,435",""
"2001","Belarus","Population on 1 January - males","4,687,717",""
"2001","Belarus","Population on 1 January - females","5,302,718",""
"2001","Belarus","Average population - total","9,970,688",""
"2001","Belarus","Average population - males","4,677,097",""
"2001","Bosnia and Herzegovina","Population on 1 January - total ","3,789,717","e"
"2001","Bosnia and Herzegovina","Population on 1 January - males","1,856,962","e"
"2001","Bosnia and Herzegovina","Population on 1 January - females","1,932,756","e"
"2001","Bosnia and Herzegovina","Average population - total","3,801,442",""
"2001","Bosnia and Herzegovina","Average population - males","1,862,707",""
"2001","Moldova","Population on 1 January - total ","3,635,112",""
"2001","Moldova","Population on 1 January - males","1,740,612",""
"2001","Moldova","Population on 1 January - females","1,894,500",""
"2001","Moldova","Average population - total","3,631,462",""
"2001","Moldova","Average population - males","1,739,082",""
"2001","Monaco","Population on 1 January - total ",":",""
"2001","Monaco","Population on 1 January - males",":",""
"2001","Monaco","Population on 1 January - females",":",""
"2001","Monaco","Average population - total",":",""
"2001","Monaco","Average population - males",":",""
"2001","Russia","Population on 1 January - total ","146,303,611",""
"2001","Russia","Population on 1 January - males","68,338,905",""
"2001","Russia","Population on 1 January - females","77,964,706",""
"2001","Russia","Average population - total","145,976,473",""
"2001","Russia","Average population - males","68,130,461",""
"2001","San Marino","Population on 1 January - total ",":",""
"2001","San Marino","Population on 1 January - males",":",""
"2001","San Marino","Population on 1 January - females",":",""
"2001","San Marino","Average population - total",":",""
"2001","San Marino","Average population - males",":",""
"2001","Ukraine","Population on 1 January - total ","48,663,609",""
"2001","Ukraine","Population on 1 January - males","22,530,402",""
"2001","Ukraine","Population on 1 January - females","26,133,207",""
"2001","Ukraine","Average population - total","48,452,256",""
"2001","Ukraine","Average population - males","22,423,360",""
"2001","Armenia","Population on 1 January - total ","3,215,300",""
"2001","Armenia","Population on 1 January - males","1,543,100",""
"2001","Armenia","Population on 1 January - females","1,672,200",""
"2001","Armenia","Average population - total","3,214,100",""
"2001","Armenia","Average population - males","1,542,750",""
"2002","Belgium","Population on 1 January - total ","10,309,725",""
"2002","Belgium","Population on 1 January - males","5,042,288",""
"2002","Belgium","Population on 1 January - females","5,267,437",""
"2002","Belgium","Average population - total","10,332,785",""
"2002","Belgium","Average population - males","5,054,587",""
"2002","Bulgaria","Population on 1 January - total ","7,868,815",""
"2002","Bulgaria","Population on 1 January - males","3,833,139",""
"2002","Bulgaria","Population on 1 January - females","4,035,676",""
"2002","Bulgaria","Average population - total","7,837,161",""
"2002","Bulgaria","Average population - males","3,817,677",""
"2002","Czech Republic","Population on 1 January - total ","10,201,182",""
"2002","Czech Republic","Population on 1 January - males","4,965,512",""
"2002","Czech Republic","Population on 1 January - females","5,235,670",""
"2002","Czech Republic","Average population - total","10,196,916",""
"2002","Czech Republic","Average population - males","4,963,606",""
"2002","Denmark","Population on 1 January - total ","5,368,354",""
"2002","Denmark","Population on 1 January - males","2,654,146",""
"2002","Denmark","Population on 1 January - females","2,714,208",""
"2002","Denmark","Average population - total","5,375,931",""
"2002","Denmark","Average population - males","2,658,285",""
"2002","Germany (until 1990 former territory of the FRG)","Population on 1 January - total ","82,440,309",""
"2002","Germany (until 1990 former territory of the FRG)","Population on 1 January - males","40,274,676",""
"2002","Germany (until 1990 former territory of the FRG)","Population on 1 January - females","42,165,633",""
"2002","Germany (until 1990 former territory of the FRG)","Average population - total","82,488,495",""
"2002","Germany (until 1990 former territory of the FRG)","Average population - males","40,309,778",""
"2002","Estonia","Population on 1 January - total ","1,383,510",""
"2002","Estonia","Population on 1 January - males","644,300",""
"2002","Estonia","Population on 1 January - females","739,210",""
"2002","Estonia","Average population - total","1,379,350",""
"2002","Estonia","Average population - males","642,145",""
"2002","Ireland","Population on 1 January - total ","3,899,702",""
"2002","Ireland","Population on 1 January - males","1,937,905",""
"2002","Ireland","Population on 1 January - females","1,961,797",""
"2002","Ireland","Average population - total","3,931,947",""
"2002","Ireland","Average population - males","1,953,566",""
"2002","Greece","Population on 1 January - total ","10,888,274",""
"2002","Greece","Population on 1 January - males","5,381,045",""
"2002","Greece","Population on 1 January - females","5,507,229",""
"2002","Greece","Average population - total","10,902,022",""
"2002","Greece","Average population - males","5,387,913",""
"2002","Spain","Population on 1 January - total ","41,035,278",""
"2002","Spain","Population on 1 January - males","20,115,524",""
"2002","Spain","Population on 1 January - females","20,919,754",""
"2002","Spain","Average population - total","41,431,558",""
"2002","Spain","Average population - males","20,328,996",""
"2002","France","Population on 1 January - total ","61,424,036",""
"2002","France","Population on 1 January - males","29,778,112",""
"2002","France","Population on 1 January - females","31,645,924",""
"2002","France","Average population - total","61,644,062",""
"2002","France","Average population - males","29,877,356",""
"2002","Croatia","Population on 1 January - total ","4,305,494",""
"2002","Croatia","Population on 1 January - males","2,069,027",""
"2002","Croatia","Population on 1 January - females","2,236,467",""
"2002","Croatia","Average population - total","4,305,439",""
"2002","Croatia","Average population - males","2,068,706",""
"2002","Italy","Population on 1 January - total ","56,987,507",""
"2002","Italy","Population on 1 January - males","27,585,050",""
"2002","Italy","Population on 1 January - females","29,402,457",""
"2002","Italy","Average population - total","57,059,007",""
"2002","Italy","Average population - males","27,621,850",""
"2002","Cyprus","Population on 1 January - total ","705,539",""
"2002","Cyprus","Population on 1 January - males","346,178",""
"2002","Cyprus","Population on 1 January - females","359,361",""
"2002","Cyprus","Average population - total","709,630",""
"2002","Cyprus","Average population - males","348,158",""
"2002","Latvia","Population on 1 January - total ","2,320,956",""
"2002","Latvia","Population on 1 January - males","1,066,248",""
"2002","Latvia","Population on 1 January - females","1,254,708",""
"2002","Latvia","Average population - total","2,310,173",""
"2002","Latvia","Average population - males","1,060,538",""
"2002","Lithuania","Population on 1 January - total ","3,454,637",""
"2002","Lithuania","Population on 1 January - males","1,613,554",""
"2002","Lithuania","Population on 1 January - females","1,841,083",""
"2002","Lithuania","Average population - total","3,443,067",""
"2002","Lithuania","Average population - males","1,607,326",""
"2002","Luxembourg","Population on 1 January - total ","444,050",""
"2002","Luxembourg","Population on 1 January - males","218,824",""
"2002","Luxembourg","Population on 1 January - females","225,226",""
"2002","Luxembourg","Average population - total","446,175",""
"2002","Luxembourg","Average population - males","219,917",""
"2002","Hungary","Population on 1 January - total ","10,174,853",""
"2002","Hungary","Population on 1 January - males","4,836,980",""
"2002","Hungary","Population on 1 January - females","5,337,873",""
"2002","Hungary","Average population - total","10,158,608",""
"2002","Hungary","Average population - males","4,827,718",""
"2002","Malta","Population on 1 January - total ","394,641",""
"2002","Malta","Population on 1 January - males","195,363",""
"2002","Malta","Population on 1 January - females","199,278",""
"2002","Malta","Average population - total","395,969",""
"2002","Malta","Average population - males","196,100",""
"2002","Netherlands","Population on 1 January - total ","16,105,285",""
"2002","Netherlands","Population on 1 January - males","7,971,967",""
"2002","Netherlands","Population on 1 January - females","8,133,318",""
"2002","Netherlands","Average population - total","16,148,929",""
"2002","Netherlands","Average population - males","7,993,719",""
"2002","Austria","Population on 1 January - total ","8,063,640",""
"2002","Austria","Population on 1 January - males","3,906,734",""
"2002","Austria","Population on 1 January - females","4,156,906",""
"2002","Austria","Average population - total","8,081,957",""
"2002","Austria","Average population - males","3,918,167",""
